b_id,year,b_empl_w,b_loans_w,b_assets_w,b_cash_w,b_equity_w,b_deposits_w,b_net_income_w,b_z_score_w
DEFEB13229,1987,,10239818,23983188,14840.316,398215.16,10123569,18550.395,1.3332491
DEFEB42965,1987,,473653.44,1164964.9,25970.553,80385.047,1072212.9,2473.386,.062605195
DEFEB13232,1987,,565168.69,1020271.8,11130.237,38337.484,967093.94,1236.693,.38837278
DEFEB13041,1987,,189214.03,603506.19,45757.641,22260.475,577535.63,0,.32626113
DEFEB13221,1988,,559185.25,1066736.5,48338.211,49436.809,937102.19,5492.9785,.63306206
DEFEB13643,1988,,572368.38,963468.5,35155.063,39549.445,887665.38,2197.1914,1.4316279
DEFEB15447,1988,,10234518,21060080,7690.1704,377916.94,7312253.5,20873.318,1.4234128
DEFEB13312,1988,,7327633.5,7988988.5,14281.745,168085.16,,12084.553,1.9461143
DEFEB13670,1988,,510847.03,765721.25,32957.871,38450.852,700904.06,2197.1914,1.5257397
DEFEB13444,1988,,2040092.3,3384773.5,145014.64,125239.91,3104631.5,13183.149,1.7971734
DEFEB13582,1988,,860200.5,2331220.3,9887.3613,290029.28,1930232.8,5492.9785,1.4851428
DEFEB41688,1988,,584452.94,1596259.6,62619.957,67014.344,1478709.9,,
DEFEB13264,1988,,865693.44,1364455.9,53831.191,43943.828,1201863.8,3295.7874,1.6262186
DEFEB13289,1988,,8730540,14985945,198845.83,516340,11206775,40648.043,.99228567
DEFEB44562,1988,,3573732,5452330.5,171380.94,243888.25,4281227.5,13183.149,1.444393
DEFEB13213,1988,,3117814.8,5123850.5,180169.7,166986.55,4255960,9887.3613,.72339052
DEFEB13615,1988,,981046,1663274,71408.727,64817.148,1570991.9,,
DEFEB13812,1988,,1549020,2594883.3,60422.766,117549.74,2280684.8,5492.9785,1.6689407
DEFEB13018,1988,,234000.89,677833.56,1098.5957,45042.426,582255.75,0,.10701648
DEFEB13552,1988,,663551.81,1703922,92282.039,51634,1501780.4,,
DEFEB15027,1988,,274648.94,433945.31,13183.149,16478.936,372423.97,1098.5957,.73822194
DEFEB14019,1988,,3146378.3,15961498,106563.79,516340,11206775,36253.66,1.5515269
DEFEB45447,1988,,10234518,21060080,128535.7,516340,,40648.043,.94956279
DEFEB45292,1988,,626199.56,11067254,73605.914,337268.91,10459730,38450.852,1.7361442
DEFEB14002,1988,,262564.38,537213.31,14281.745,50535.406,471297.56,5492.9785,.98415464
DEFEB41431,1988,,92282.039,219719.16,4394.3828,12084.553,185662.69,0,1.3452214
DEFEB13297,1988,,420762.16,591044.5,18676.127,28563.49,550396.44,1098.5957,1.0964563
DEFEB14104,1988,,7101323,11872524,177972.52,488875.09,9347951,35155.063,1.2385141
DEFEB13544,1988,,357043.63,739354.94,29662.086,41746.637,667946.19,,
DEFEB14013,1988,,393297.28,556988.06,51634,21971.914,519635.78,0,.43673408
DEFEB13041,1988,,116451.15,541607.69,29662.086,19774.723,519635.78,0,.32442874
DEFEB47438,1988,,3373787.5,3730831.3,16478.936,160394.98,3355111.5,8788.7656,.87200445
DEFEB13622,1988,,341663.28,1966486.4,1098.5957,80197.492,1867612.8,2197.1914,.72412342
DEFEB13229,1988,,9985137,21060080,2197.1914,357043.63,11206775,16478.936,1.3245475
DEFEB13955,1988,,1720401,2783841.5,109859.58,120845.53,2486122.3,7690.1704,1.9461143
DEFEB41223,1988,,354846.44,469100.38,2197.1914,30760.682,418564.97,0,.19685143
DEFEB13326,1988,,539410.5,885468.19,58225.574,38450.852,775608.63,2197.1914,.72040612
DEFEB13594,1988,,335071.69,1116173.3,35155.063,54929.789,1052454.8,3295.7874,.45995694
DEFEB13232,1988,,618509.38,1081018.3,17577.531,39549.445,1019496.9,1098.5957,.40660718
DEFEB13075,1988,,264761.56,828341.19,29662.086,52732.598,730566.19,,
DEFEB13520,1988,,2932152,5598444,42845.234,107662.38,2526770.3,4394.3828,1.1240683
DEFEB41239,1988,,720678.81,1718203.8,82394.68,79098.891,1576484.9,13183.149,1.1784115
DEFEB13404,1988,,2234543.8,3648436.5,87887.656,152704.81,3187026.3,8788.7656,1.4375439
DEFEB13124,1988,,971158.63,2383952.8,120845.53,110958.17,2249924,7690.1704,1.7392299
DEFEB13876,1988,,560283.81,1003017.9,25267.703,34056.469,882172.38,1098.5957,.89714563
DEFEB13109,1988,,10234518,21060080,198845.83,516340,11206775,40648.043,.33716294
DEFEB13165,1988,,965665.69,1356765.8,23070.51,57126.98,1127159.3,1098.5957,.40680572
DEFEB13181,1988,,580058.56,1557808.8,31859.277,126338.51,1365554.5,3295.7874,1.3691691
DEFEB13263,1988,,3187026.3,5785205,195550.05,243888.25,5056836,20873.318,1.321099
DEFEB13964,1988,,1166708.6,1711612.1,84591.875,62619.957,1487498.6,4394.3828,.59539711
DEFEB13313,1988,,121944.13,298818.03,15380.341,25267.703,271353.16,1098.5957,1.2382672
DEFEB41244,1988,,282339.09,377916.94,1098.5957,27464.895,337268.91,2197.1914,.88877314
DEFEB13325,1988,,3964832,4960160,124141.32,277944.72,4482270.5,18676.127,.30139956
DEFEB13230,1988,,5237006,5620416,2197.1914,109859.58,,3295.7874,.64022034
DEFEB13246,1988,,505354.03,510847.03,1098.5957,32957.871,462508.81,2197.1914,1.2356156
DEFEB13920,1988,,1897274.9,3584718,142817.45,166986.55,3174941.8,8788.7656,1.6460906
DEFEB13570,1988,,3691281.8,6877209.5,192254.25,216423.36,6294953.5,10985.957,.95679671
DEFEB13568,1988,,7523183.5,8057101,10985.957,124141.32,,9887.3613,1.516685
DEFEB14967,1988,,121944.13,219719.16,7690.1704,12084.553,185662.69,0,.87239319
DEFEB13525,1988,,440536.91,725073.19,31859.277,29662.086,598734.69,1098.5957,1.4923609
DEFEB43337,1988,,196648.64,487776.5,35155.063,25267.703,436142.5,2197.1914,1.4090937
DEFEB14033,1988,,6064248.5,6260897,8788.7656,143916.05,,10985.957,1.3976001
DEFEB15379,1988,,956876.88,1987359.8,107662.38,101070.81,1721499.5,,
DEFEB13656,1988,,1397413.8,3021138.3,127437.11,112056.77,2728911.8,5492.9785,1.7087243
DEFEB13963,1988,,9389698,9772009,4394.3828,195550.05,,15380.341,1.5671169
DEFEB13524,1988,,218620.55,304311.03,1098.5957,27464.895,265860.16,1098.5957,1.4286835
DEFEB13621,1988,,92282.039,219719.16,10985.957,12084.553,185662.69,1098.5957,.97497052
DEFEB13912,1988,,3655028,6861829,198845.83,304311.03,5936811.5,16478.936,1.8543853
DEFEB13498,1988,,1986261.1,3160660,88986.258,124141.32,2924462,9887.3613,1.3607163
DEFEB13917,1988,,828341.19,1386427.9,53831.191,64817.148,1262286.5,4394.3828,1.2028737
DEFEB13898,1988,,5143625.5,8866766,198845.83,327381.53,7726424,18676.127,1.0197604
DEFEB13014,1988,,6591574.5,7101323,1098.5957,196648.64,,17577.531,1.9461143
DEFEB13240,1988,,861299.06,3070575,198845.83,116451.15,2854151.8,7690.1704,.68889898
DEFEB13309,1988,,427353.75,741552.13,13183.149,25267.703,643777.13,1098.5957,1.1100872
DEFEB13073,1988,,291127.88,662453.25,26366.299,30760.682,610819.25,4394.3828,1.1818739
